date,open,high,low,close,volume
2025-06-12,238.74,242.15,237.42,238.73,8946600
2025-06-13,233.76,236.75,232.47,235.35,7420300
2025-06-16,236.35,238.68,234.83,235.29,4505600
2025-06-17,235.48,237.71,233.64,234.51,5720500
2025-06-18,234.72,238.26,231.02,234.65,7761100
2025-06-20,238.46,239.53,235.26,238.11,9142100
2025-06-23,237.98,247.15,237.36,246.51,8052000
2025-06-24,247.07,248.08,244.28,247.44,5255700
2025-06-25,248.76,249.67,247.17,248.58,5197400
2025-06-26,249.86,254.13,248.68,249.68,6790300
2025-06-27,250.52,259.18,250.45,253.17,26988000
2025-06-30,254.96,256.53,252.53,256.03,8135800
2025-07-01,254.4,254.4,245.81,247.71,7178300
2025-07-02,246.69,247.82,242.38,243.46,6228600
2025-07-03,244.26,247.39,243.71,245.58,3089500
2025-07-07,246.58,248.49,245.54,247.7,5336400
2025-07-08,247.05,248.51,242.41,246.11,5994500
2025-07-09,248.04,250.76,245.88,249.38,5589500
2025-07-10,249.65,251.72,245.81,251.61,5462500
2025-07-11,250.54,255.9,250.44,254.45,7867200
2025-07-14,255.21,261.46,255.02,261.34,7502200
2025-07-15,262.91,264.05,260.74,263.66,9392400
2025-07-16,262.99,265.84,261.03,265.17,11912900
2025-07-17,268.77,271.76,257.18,259.29,16260200
2025-07-18,264.39,268.67,261.56,262.27,8619800
2025-07-21,262.68,265.23,258.59,261.86,5208500
2025-07-22,259.74,260.5,253.69,258.01,4751300
2025-07-23,259.54,262.72,258.96,262.18,4689800
2025-07-24,262.56,268.81,262.18,266.99,5206700
2025-07-25,267.81,271.79,267.24,270.55,4598400
2025-07-28,272.32,272.4,266.42,269.58,5006400
2025-07-29,271.69,272.76,268.09,269.28,4125300
2025-07-30,269.89,272.59,268.48,272.51,4697000
2025-07-31,272.03,273.89,268.85,270.05,4524000
2025-08-01,264.52,269.52,260.71,268.35,4416300
2025-08-04,269.48,275.79,269.19,275.18,3744000
2025-08-05,275.21,275.94,267.6,271.08,4000600
2025-08-06,272.46,274.0,268.88,271.24,3576800
2025-08-07,270.91,271.83,267.71,270.98,3050400
2025-08-08,272.54,276.12,271.54,273.96,4467300
2025-08-11,274.1,275.36,271.51,274.15,3360100
2025-08-12,274.99,279.47,274.65,278.56,3630100
2025-08-13,279.93,280.43,263.07,267.83,7599600
2025-08-14,271.95,273.11,268.45,268.67,4481700
2025-08-15,267.89,268.67,264.2,266.83,5203300
2025-08-18,266.88,268.58,265.49,267.43,2697000
2025-08-19,265.29,267.93,262.79,264.92,3404900
2025-08-20,264.45,267.91,262.8,265.42,3854700
2025-08-21,266.12,270.88,265.13,267.69,3266400
2025-08-22,268.7,271.31,265.35,265.51,5229300
2025-08-25,265.98,270.88,265.54,265.59,4301600
2025-08-26,266.96,273.65,266.4,272.9,4693500
2025-08-27,272.66,273.65,271.19,272.31,2705700
2025-08-28,271.46,275.62,271.09,274.95,3388100
2025-08-29,274.95,275.23,270.6,274.15,5037100
2025-09-02,272.86,274.53,266.99,274.34,4081200
2025-09-03,274.86,276.26,272.56,274.88,4120400
2025-09-04,274.78,281.28,274.78,281.19,4591300
2025-09-05,281.19,283.33,270.82,278.17,4952600
2025-09-08,278.93,281.84,274.44,275.0,5008600
2025-09-09,274.33,276.02,272.26,275.19,3073600
2025-09-10,276.49,282.41,275.83,282.33,3206400
2025-09-11,282.65,285.82,278.52,280.49,4016800
2025-09-12,280.49,282.45,279.63,280.62,3249700
2025-09-15,280.91,286.02,280.55,285.69,3716600
2025-09-16,288.76,293.62,287.74,291.85,5538400
2025-09-17,290.98,291.59,285.41,288.4,4149600
2025-09-18,289.6,296.52,289.1,295.96,3977500
2025-09-19,296.65,301.87,294.23,299.99,9652600
2025-09-22,298.96,300.0,295.22,299.87,4192800
2025-09-23,300.5,304.6,300.0,304.46,3637400
2025-09-24,305.73,306.08,297.65,299.16,5645500
2025-09-25,297.36,299.1,293.75,296.05,4504500
2025-09-26,298.79,300.85,291.63,293.86,3817600
2025-09-29,295.59,297.16,288.91,292.87,3860800
2025-09-30,293.95,300.69,293.15,300.04,4112400
2025-10-01,295.61,301.45,294.26,300.1,3633300
2025-10-02,301.53,302.65,296.03,298.67,2508200
2025-10-03,298.68,301.96,294.69,296.23,2817000
2025-10-06,295.03,298.51,293.99,297.45,2759800
2025-10-07,297.3,301.95,297.12,300.96,2578800
2025-10-08,302.61,303.88,298.81,301.77,2658600
2025-10-09,301.92,303.21,295.33,298.57,4292500
2025-10-10,298.22,299.22,290.73,290.73,3380000
2025-10-13,295.23,296.81,292.36,296.76,2604100
2025-10-14,294.07,301.51,291.25,299.3,2516500
2025-10-15,300.76,304.16,294.95,299.34,2773000
2025-10-16,300.89,302.26,296.99,299.06,2623100
2025-10-17,297.4,302.17,296.57,299.36,3949300
2025-10-20,303.07,304.64,300.89,301.89,5058700
2025-10-21,306.5,315.71,302.24,305.83,6726600
2025-10-22,306.8,308.2,294.03,297.12,5212200
2025-10-23,298.37,306.29,297.9,305.59,3091000
2025-10-24,308.39,309.49,302.78,303.08,3586800
2025-10-27,306.69,312.52,303.71,312.03,4244400
2025-10-28,311.29,315.85,308.65,308.99,3058100
2025-10-29,309.2,314.3,308.22,313.46,3596800
2025-10-30,309.6,314.02,307.7,309.94,3782000
2025-10-31,310.93,314.1,306.38,308.15,4023800
2025-11-03,308.3,310.88,305.49,307.82,3297600
2025-11-04,305.03,308.43,302.28,303.41,3938200
2025-11-05,302.66,307.74,301.71,304.32,4711100
2025-11-06,302.94,307.23,300.66,304.48,3467800
2025-11-07,303.24,308.12,296.93,306.47,4766500
2025-11-10,309.14,312.95,308.12,311.13,3716400
2025-11-11,309.69,311.91,306.25,309.91,2682200
2025-11-12,309.97,311.64,301.22,308.22,3884500
2025-11-13,309.18,310.57,301.79,303.38,4153300
2025-11-14,300.19,306.0,295.48,304.03,2803300
2025-11-17,306.02,308.02,297.78,299.35,3076600
2025-11-18,295.06,300.3,292.99,295.24,4053600
2025-11-19,295.09,300.89,294.73,300.04,2952600
2025-11-20,304.61,306.28,289.73,289.87,3733900
2025-11-21,289.87,290.95,283.3,286.69,5604100
2025-11-24,288.73,294.05,286.62,293.29,11909200
2025-11-25,293.73,295.21,285.47,292.68,4693100
2025-11-26,294.44,297.84,292.7,295.85,4113700
2025-11-28,296.24,297.9,294.49,297.68,1376400
2025-12-01,294.98,295.63,287.28,287.7,3756300
2025-12-02,290.05,291.24,287.71,288.57,4255800
2025-12-03,287.29,288.6,283.76,287.74,4059500
2025-12-04,288.1,293.78,286.91,291.1,4195300
2025-12-05,290.91,292.52,281.42,283.2,5220300
2025-12-08,284.26,288.09,282.56,286.44,4333200
2025-12-09,286.45,289.7,284.03,284.57,3553400
2025-12-10,284.71,285.14,280.58,282.86,5807400
2025-12-11,281.35,288.61,278.91,287.67,5971500
2025-12-12,290.17,303.22,289.95,299.03,9381900
2025-12-15,299.22,307.26,299.13,300.2,6808600
2025-12-16,296.89,300.62,296.09,297.95,5271300
2025-12-17,298.34,300.45,290.86,291.42,3802500
2025-12-18,295.23,301.53,294.65,300.91,4495100
2025-12-19,303.44,307.63,302.85,306.41,8856400
2025-12-22,308.85,315.58,305.14,313.91,6959900
2025-12-23,314.18,316.93,313.34,314.71,2724800
2025-12-24,315.17,316.34,314.3,315.93,878500
2025-12-26,315.78,317.23,313.72,314.32,1882300
2025-12-29,312.88,313.54,310.8,311.13,2773200
2025-12-30,311.49,312.47,310.11,311.34,3155100
2025-12-31,311.69,312.9,307.42,307.58,2555700
2026-01-02,309.3,320.51,308.21,320.28,4340100
2026-01-05,323.35,328.95,322.95,323.85,5628200
2026-01-06,325.45,332.31,320.99,327.06,4324700
2026-01-07,327.94,329.78,322.48,323.17,4656800
2026-01-08,329.67,329.67,309.82,313.98,5771700
2026-01-09,316.65,321.83,314.73,321.12,3508000
2026-01-12,319.73,324.07,318.95,323.7,4125300
2026-01-13,325.08,327.61,324.53,326.75,2783900
2026-01-14,324.35,325.83,315.9,318.42,3923600
2026-01-15,320.12,323.98,317.49,319.47,4044900
2026-01-16,321.25,325.08,318.24,324.65,4109700
2026-01-20,321.28,323.41,309.21,311.89,10372200
2026-01-21,312.6,319.86,310.21,318.04,9783900
2026-01-22,305.43,309.55,294.41,294.57,13939000
2026-01-23,296.57,298.67,289.65,293.44,7780200
2026-01-26,292.57,298.3,290.02,294.63,7844800
2026-01-27,295.08,300.19,294.17,297.04,7452200
2026-01-28,296.57,297.84,290.73,292.05,7541300
2026-01-29,292.87,298.75,289.91,298.43,6149900
2026-01-30,296.57,307.15,295.95,306.34,7427800
2026-02-02,305.16,309.21,300.58,308.26,6727200
2026-02-03,309.44,311.98,304.57,309.48,4588100
2026-02-04,309.56,311.33,301.56,307.89,6591900
2026-02-05,306.26,308.78,302.06,305.92,4461900
2026-02-06,310.24,322.71,309.77,320.53,5800600
2026-02-09,320.57,324.02,315.93,316.28,4706400
2026-02-10,316.48,319.6,315.42,315.87,4610600
2026-02-11,318.99,321.31,312.31,313.27,5241100
2026-02-12,317.32,324.41,311.21,312.43,6163900
2026-02-13,314.76,326.2,313.07,314.95,4393400
2026-02-17,314.54,329.92,314.04,326.6,5863600
2026-02-18,329.87,331.31,326.03,329.1,3988900
2026-02-19,327.56,335.39,325.1,334.25,4456700
2026-02-20,338.34,343.8,336.3,342.72,5035400
2026-02-23,341.65,342.78,336.51,338.5,5045100
2026-02-24,337.49,346.3,330.24,345.14,6171900
2026-02-25,345.11,347.97,338.17,342.39,5030300
2026-02-26,342.11,343.48,334.32,340.34,4722400
2026-02-27,340.12,343.3,337.18,341.76,7055100
2026-03-02,340.95,346.69,334.84,345.24,3981200
2026-03-03,340.18,340.63,328.6,333.65,5891500
2026-03-04,336.06,339.76,332.94,339.32,3920400
2026-03-05,336.09,341.31,320.32,326.51,4825400
2026-03-06,323.2,324.07,317.15,322.64,4677000
